,name,total_sent,e_sent,percent,percentile
99,PIMCO,375,17,4.533333333333333,20.967741935483872
100,PSBC,907,352,38.80926130099228,100.0
101,Pinebridge,653,17,2.6033690658499236,8.870967741935484
102,PingAn,7353,1579,21.474228206174352,82.25806451612904
103,Prudential,1531,227,14.826910516002611,65.3225806451613
104,RHB,3897,862,22.119579163459072,83.87096774193549
105,SBI,699,194,27.753934191702434,91.93548387096774
106,SCB,987,173,17.52786220871327,70.16129032258064
107,SMTH,2992,441,14.739304812834225,64.51612903225806
108,Schroders,586,27,4.607508532423208,21.774193548387096
109,ShinKong,3256,598,18.366093366093367,74.19354838709677
110,Shinhan,609,63,10.344827586206897,51.61290322580645
111,Sinopac,7083,1513,21.361005223775237,81.45161290322581
112,SunLife,2363,284,12.018620397799408,58.064516129032256
113,TCW,24,1,4.166666666666666,18.548387096774192
